sync-consumer-1  | 2025-07-23T21:31:35.606378657Z 2025-07-23 18:31:35 [debug    ] Configurando cliente           base_url=https://api.pipedrive.com/api/v2/ component=BaseAPIClient timeout=5.0
sync-consumer-1  | 2025-07-23T21:31:35.606613894Z 2025-07-23 18:31:35 [debug    ] CommandHandler registrado      command=CreatePipedriveDealCommand
sync-consumer-1  | 2025-07-23T21:31:35.606641358Z 2025-07-23 18:31:35 [debug    ] CommandHandler registrado      command=UpdatePipedriveDealCommand
sync-consumer-1  | 2025-07-23T21:31:35.606723476Z 2025-07-23 18:31:35 [debug    ] QueryHandler registrado        query=ListCollectionCasesQuery
sync-consumer-1  | 2025-07-23T21:31:35.606755533Z 2025-07-23 18:31:35 [debug    ] QueryHandler registrado        query=GetCollectionCaseQuery
sync-consumer-1  | 2025-07-23T21:31:35.652913891Z 2025-07-23 18:31:35 [debug    ] QueryHandler registrado        query=GetDashboardSummaryQuery
sync-consumer-1  | 2025-07-23T21:31:35.653000601Z 2025-07-23 18:31:35 [info     ] DjangoAppConfig ready
sync-consumer-1  | 2025-07-23T21:31:35.671962159Z 2025-07-23 18:31:35,671 - INFO - Conectado ao RabbitMQ. Aguardando mensagens em: sync.old_debts, sync.acordo_activities, sync.seed_scheduling
sync-consumer-1  | 2025-07-23T21:33:17.456293413Z 2025-07-23 18:33:17,455 - INFO - Mensagem de sync recebida: routing_key=old_debts, body={'oralsin_clinic_id': 2}
sync-consumer-1  | 2025-07-23T21:33:17.470098783Z 2025-07-23 18:33:17 [debug    ] CordialBilling DI container já instanciado.
sync-consumer-1  | 2025-07-23T21:33:17.471049813Z 2025-07-23 18:33:17 [info     ] Executando comando             command=SyncOldDebtsCommand
sync-consumer-1  | 2025-07-23T21:33:17.471077083Z 2025-07-23 18:33:17 [info     ] Comando executado              command=SyncOldDebtsCommand duration=0.000s
sync-consumer-1  | 2025-07-23T21:33:17.507185893Z 2025-07-23 18:33:17 [info     ] using_billing_settings         clinic_id=2 min_days_overdue=90
sync-consumer-1  | 2025-07-23T21:33:17.525464713Z 2025-07-23 18:33:17 [debug    ] contracts_found                clinic_id=UUID('061972b6-c138-4c4a-b6cc-4a56e19bcc8d') contracts=358 internal_clinic_uuid=7b33ee7d-7dd0-48ac-931a-b6669ac0f46e
sync-consumer-1  | 2025-07-23T21:33:17.953706043Z 2025-07-23 18:33:17 [info     ] sync_old_debts_started         clinic_id=2 contracts=358 min_days_overdue=90
sync-consumer-1  | 2025-07-23T21:33:19.770182883Z 2025-07-23 18:33:19 [info     ] sync_old_debts_finished        clinic_id=2 created=15 skipped=0
sync-consumer-1  | 2025-07-23T21:33:19.771363593Z {'created': 15, 'skipped': 0}
sync-consumer-1  | 2025-07-23T21:33:19.775354013Z 2025-07-23 18:33:19,771 - INFO - Comando 'sync_old_debts' executado para a clínica 2.
sync-consumer-1  | 2025-07-23T21:33:19.775697003Z 2025-07-23 18:33:19,775 - INFO - Mensagem de sync recebida: routing_key=acordo_activities, body={'oralsin_clinic_id': 2}
sync-consumer-1  | 2025-07-23T21:33:19.778665653Z 2025-07-23 18:33:19 [debug    ] CordialBilling DI container já instanciado.
sync-consumer-1  | 2025-07-23T21:33:19.844283303Z 2025-07-23 18:33:19 [info     ] Executando comando             command=SyncAcordoActivitiesCommand
sync-consumer-1  | 2025-07-23T21:33:19.844306973Z 2025-07-23 18:33:19 [info     ] Comando executado              command=SyncAcordoActivitiesCommand duration=0.000s
sync-consumer-1  | 2025-07-23T21:33:19.844407143Z 2025-07-23 18:33:19 [info     ] sync_acordo_start              after_id=0 clinic_id=2
sync-consumer-1  | 2025-07-23T21:33:19.847505033Z 2025-07-23 18:33:19 [debug    ] loaded_clinic                  clinic_id=UUID('061972b6-c138-4c4a-b6cc-4a56e19bcc8d') clinic_name='Londrina - Zona Norte'
sync-consumer-1  | 2025-07-23T21:33:19.850753493Z 2025-07-23 18:33:19 [debug    ] resolved_after_id              after_id=0
sync-consumer-1  | 2025-07-23T21:33:19.948627053Z 2025-07-23 18:33:19 [info     ] processing_batch               batch_size=416 end_id=516 start_id=18
sync-consumer-1  | 2025-07-23T21:33:19.950052923Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=18 deal_id=1525 person_id=495
sync-consumer-1  | 2025-07-23T21:33:19.950075603Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1525
sync-consumer-1  | 2025-07-23T21:33:19.950909543Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=20 deal_id=1431 person_id=450
sync-consumer-1  | 2025-07-23T21:33:19.951530273Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1431
sync-consumer-1  | 2025-07-23T21:33:19.953210393Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=30 deal_id=1608 person_id=538
sync-consumer-1  | 2025-07-23T21:33:19.954117233Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1608
sync-consumer-1  | 2025-07-23T21:33:19.963144773Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=31 deal_id=1640 person_id=553
sync-consumer-1  | 2025-07-23T21:33:19.963911393Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1640
sync-consumer-1  | 2025-07-23T21:33:19.966198203Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=32 deal_id=1543 person_id=511
sync-consumer-1  | 2025-07-23T21:33:19.967146443Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1543
sync-consumer-1  | 2025-07-23T21:33:19.976967423Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=33 deal_id=1376 person_id=None
sync-consumer-1  | 2025-07-23T21:33:19.979227863Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1376
sync-consumer-1  | 2025-07-23T21:33:20.007171153Z 2025-07-23 18:33:19 [debug    ] processing_activity            activity_id=34 deal_id=1720 person_id=None
sync-consumer-1  | 2025-07-23T21:33:20.031625593Z 2025-07-23 18:33:19 [debug    ] patient_cache_miss             deal_id=1720
sync-consumer-1  | 2025-07-23T21:33:20.038093443Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=35 deal_id=1667 person_id=564
sync-consumer-1  | 2025-07-23T21:33:20.038122603Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=1667
sync-consumer-1  | 2025-07-23T21:33:20.038126113Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=36 deal_id=1765 person_id=613
sync-consumer-1  | 2025-07-23T21:33:20.038128723Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=1765
sync-consumer-1  | 2025-07-23T21:33:20.038131783Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=37 deal_id=1729 person_id=None
sync-consumer-1  | 2025-07-23T21:33:20.038134213Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=1729
sync-consumer-1  | 2025-07-23T21:33:20.038136553Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=38 deal_id=2508 person_id=1315
sync-consumer-1  | 2025-07-23T21:33:20.038151403Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2508
sync-consumer-1  | 2025-07-23T21:33:20.038153923Z 2025-07-23 18:33:20 [debug    ] processing_activity            activity_id=39 deal_id=2508 person_id=1315
sync-consumer-1  | 2025-07-23T21:33:20.038156353Z 2025-07-23 18:33:20 [debug    ] patient_cache_miss             deal_id=2508
